id,expression,answer_3sf,answer_exact,difficulty,topics,notes
calc-001,"24/3",8.00,8,Easy,arithmetic,
calc-002,"7+5",12.0,12,Easy,arithmetic,
calc-003,"15-8",7.00,7,Easy,arithmetic,
calc-004,"9*6",54.0,54,Easy,arithmetic,
calc-005,"0.75*16",12.0,12,Easy,decimal, 
calc-006,"5/8*64",40.0,40,Easy,fraction,
calc-007,"0.25*240",60.0,60,Easy,percentage,
calc-008,"0.125+0.375",0.500,0.5,Easy,decimal,
calc-009,"14/0.7",20.0,20,Easy,division,
calc-010,"6^2",36.0,36,Easy,exponent,
calc-011,"sqrt(49)",7.00,7,Easy,root,
calc-012,"27^(1/3)",3.00,3,Easy,root,
calc-013,"0.2*1000",2.00e2,200,Easy,scientific,
calc-014,"3/8",0.375,0.375,Easy,fraction,
calc-015,"0.45*200",90.0,90,Easy,percentage,
calc-016,"(1/3)*3",1.00,1,Easy,fraction,
calc-017,"5+3*2",11.0,11,Easy,order_of_operations,
calc-018,"(5+3)*2",16.0,16,Easy,brackets,
calc-019,"100/4-3",22.0,22,Easy,arithmetic,
calc-020,"8*0.125",1.00,1,Easy,decimal,
calc-021,"sqrt(2)",1.41,sqrt(2),Medium,root,
calc-022,"sqrt(50)",7.07,"5*sqrt(2)",Medium,root,
calc-023,"log10(1000)",3.00,3,Medium,log,
calc-024,"ln(e^2)",2.00,2,Medium,log,
calc-025,"sin(30)",0.500,1/2,Medium,trig,"degrees:true"
calc-026,"cos(60)",0.500,1/2,Medium,trig,"degrees:true"
calc-027,"tan(45)",1.00,1,Medium,trig,"degrees:true"
calc-028,"3.2^2",10.2,10.24,Medium,exponent,
calc-029,"7/12*100",58.3,58.3333333,Medium,percentage,
calc-030,"0.005*3.4e4",1.70e2,170,Medium,scientific,
calc-031,"(5/6)+0.25",1.08,1.0833333,Medium,fraction,
calc-032,"((2+3)^3)/5",25.0,25,Medium,exponent,
calc-033,"log10(250)",2.40,log10(250),Medium,log,
calc-034,"sin(45)*sqrt(2)",1.00,1,Medium,trig;root,"degrees:true"
calc-035,"(15/120)*100",12.5,12.5,Medium,percentage,
calc-036,"3*pi",9.42,3*pi,Medium,pi,
calc-037,"pi*3^2",28.3,9*pi,Medium,area;pi,
calc-038,"(4/3)*pi*2^3",33.5,32/3*pi,Medium,volume;pi,
calc-039,"e",2.72, e,Medium,exponent,
calc-040,"sqrt(0.02)",0.141,0.141421356,Medium,root,
calc-041,"pi^2",9.87,pi^2,Hard,pi,
calc-042,"ln(50)",3.91,ln(50),Hard,log,
calc-043,"arcsin(0.5)",30.0,30,Hard,trig,"degrees:true"
calc-044,"arctan(1)",45.0,45,Hard,trig,"degrees:true"
calc-045,"5.5^(3/2)",12.9,5.5^(3/2),Hard,exponent,
calc-046,"2*log10(7.5)",1.75,2*log10(7.5),Hard,log,
calc-047,"2^10/3",341,341.3333333,Hard,exponent,
calc-048,"(pi+e)^2",34.3,(pi+e)^2,Hard,pi;e,
calc-049,"123456^(1/3)",49.8,123456^(1/3),Hard,root,
calc-050,"sin(75)+cos(30)",1.83, sin(75)+cos(30),Hard,trig,"degrees:true"
